time,mmsi,nav_status,sog,cog,rot,true_head,lon,lat,draught,dis,delta_time,phase
1667287990,357420000,0,17.3,2208,0,219,113.079102,21.2234,82,0.045392804,6,sea
1667287996,357420000,0,17.6,2223,0,219,113.078697,21.223,82,0.06116033,6,sea
1667288002,357420000,0,17.5,2203,0,221,113.0784,21.222601,82,0.05400128,6,sea
1667288010,357420000,0,17.4,2224,0,219,113.077904,21.2222,82,0.06805455,8,sea
1667288014,357420000,0,17.7,2219,0,219,113.077698,21.221901,82,0.039513644,4,sea
1667288037,357420000,0,17.5,2205,0,221,113.076302,21.220501,82,0.21253896,23,sea
1667288050,357420000,0,17.6,2248,0,219,113.0755,21.2197,82,0.12183536,13,sea
1667288067,357420000,0,17.4,2258,0,219,113.074501,21.2187,82,0.15194564,17,sea
1667288110,357420000,0,17.3,2209,0,221,113.072098,21.2162,82,0.3732591,43,sea
1667288230,357420000,0,17.7,2209,0,220,113.065201,21.2089,82,1.0816875,120,sea
1667288356,357420000,0,17.2,2188,0,220,113.057899,21.201099,82,1.151279,126,sea
1667288367,357420000,0,17.3,2209,0,219,113.057297,21.2005,82,0.091275394,11,sea
1667288373,357420000,0,17.3,2234,0,221,113.0569,21.2001,82,0.06059851,6,sea
1667288380,357420000,0,17.2,2218,0,219,113.056602,21.199699,82,0.05424582,7,sea
1667288391,357420000,0,17.2,2217,0,220,113.055901,21.198999,82,0.10648879,11,sea
1667288403,357420000,0,17.4,2207,0,219,113.055199,21.198299,82,0.10655977,12,sea
1667288410,357420000,0,17.2,2213,0,219,113.054802,21.198,82,0.05290856,7,sea
1667288415,357420000,0,17.1,2218,0,220,113.054497,21.197599,82,0.054662656,5,sea
1667288427,357420000,0,17.4,2215,0,220,113.053802,21.196899,82,0.10606595,12,sea
1667288434,357420000,0,17.3,2217,0,220,113.053497,21.196501,82,0.054391082,7,sea
1667288440,357420000,0,17.5,2226,0,219,113.053101,21.1961,82,0.06061063,6,sea
1667288445,357420000,0,17.6,2229,0,219,113.052803,21.195801,82,0.045385554,5,sea
1667288451,357420000,0,17.4,2197,0,220,113.052498,21.1954,82,0.054662902,6,sea
1667288458,357420000,0,17.6,2233,0,219,113.052101,21.195,82,0.060599476,7,sea
1667288463,357420000,0,17.7,2202,0,221,113.051804,21.1947,82,0.045396775,5,sea
1667288470,357420000,0,17.5,2220,0,220,113.051399,21.1943,82,0.06116593,7,sea
1667288475,357420000,0,17.6,2233,0,220,113.051003,21.193899,82,0.060611002,5,sea
1667288482,357420000,0,17.5,2199,0,221,113.050697,21.193501,82,0.054451697,7,sea
1667288488,357420000,0,17.5,2230,0,219,113.0504,21.193199,82,0.045560762,6,sea
1667288494,357420000,0,17.7,2237,0,220,113.050003,21.192801,82,0.060436852,6,sea
1667288505,357420000,0,17.5,2220,0,219,113.049301,21.192101,82,0.1065618,11,sea
1667288511,357420000,0,17.8,2229,0,219,113.048897,21.1917,82,0.061176244,6,sea
1667288517,357420000,0,17.6,2200,0,220,113.048599,21.191299,82,0.05424673,6,sea
1667288523,357420000,0,17.7,2234,0,219,113.048302,21.191,82,0.0453158,6,sea
1667288530,357420000,0,17.9,2213,0,221,113.047897,21.190599,82,0.06124758,7,sea
1667288536,357420000,0,17.7,2229,0,219,113.0476,21.190201,82,0.05391392,6,sea
1667288542,357420000,0,17.7,2232,0,220,113.047203,21.189899,82,0.053120553,6,sea
1667288547,357420000,0,17.5,2219,0,219,113.046799,21.189501,82,0.06093408,5,sea
1667288562,357420000,0,17.5,2204,0,221,113.045998,21.1887,82,0.1217766,15,sea
1667288569,357420000,0,17.4,2225,0,218,113.045601,21.1882,82,0.069175445,7,sea
1667288578,357420000,0,17.4,2216,0,220,113.045097,21.1877,82,0.076298974,9,sea
1667288588,357420000,0,17.3,2222,0,218,113.0448,21.1873,82,0.05409691,10,sea
1667288603,357420000,0,17.5,2175,0,220,113.043701,21.1861,82,0.17546427,15,sea
1667288709,357420000,0,17.3,2218,0,220,113.037598,21.179701,82,0.9521985,106,sea
1667288715,357420000,0,17.2,2215,0,220,113.037201,21.179399,82,0.05312276,6,sea
1667288719,357420000,0,17.3,2202,0,222,113.037102,21.179199,82,0.02449369,4,sea
